City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,conceicao do rio verde,-21.8808,-45.0853,25.01,77,76,3.2,BR,1675620645
84,castro,-24.7911,-50.0119,23.89,64,78,2.4,BR,1675620645
85,ambon,-3.6954,128.1814,24.08,94,75,1.03,ID,1675620646
86,cape town,-33.9258,18.4232,22.84,79,20,8.75,ZA,1675620007
87,fuerte olimpo,-21.0415,-57.8738,33.21,42,45,2.11,PY,1675620647
88,hithadhoo,-0.6,73.0833,27.3,70,69,4.98,MV,1675620648
89,kano,12.0001,8.5167,29.58,12,91,3.61,NG,1675620649
90,kot samaba,28.5522,70.4684,20.03,29,0,1.31,PK,1675620650
91,nachingwea,-10.3833,38.7667,22.83,89,85,0.92,TZ,1675620650
92,victoria,22.2855,114.1577,19.41,88,87,1.34,HK,1675620492
93,sioux lookout,50.1001,-91.917,-13.16,83,83,2.02,CA,1675620651
94,caravelas,-17.7125,-39.2481,30.07,61,0,5.91,BR,1675620652
95,awbari,26.5921,12.7805,13.39,37,13,3.51,LY,1675620653
96,greytown,-29.0642,30.5928,17.02,97,45,1.08,ZA,1675620654
97,iwaki,37.05,140.8833,3.2,76,96,2.19,JP,1675620654
98,port augusta,-32.5,137.7667,19.91,54,2,3.96,AU,1675620655
99,hualmay,-11.0964,-77.6139,25.14,69,44,3.84,PE,1675620656
100,fare,-16.7,-151.0167,27.43,75,18,7.01,PF,1675620656
101,xuddur,4.1213,43.8894,26.05,21,40,5.11,SO,1675620658
102,yellowknife,62.456,-114.3525,-26.71,76,100,4.12,CA,1675620087
103,bulgan,48.8125,103.5347,-18.56,96,92,1.54,MN,1675620660
104,dukat,62.55,155.55,-37.71,100,91,2.17,RU,1675620660
105,hambantota,6.1241,81.1185,24.98,84,100,4.99,LK,1675620661
106,albany,42.6001,-73.9662,4.21,49,100,1.79,US,1675620042
107,khatanga,71.9667,102.5,-34.29,95,98,2.38,RU,1675620664
108,lavrentiya,65.5833,-171.0,-19.94,96,100,4.1,RU,1675620665
109,dubbo,-32.25,148.6167,15.07,63,0,4.12,AU,1675620667
110,anastacio,-20.4836,-55.8069,31.39,46,100,2.09,BR,1675620668
111,oktyabrskiy,54.4815,53.471,-10.37,95,100,1.04,RU,1675620668
112,kieta,-6.2167,155.6333,25.68,84,100,0.91,PG,1675620669
113,honiara,-9.4333,159.95,25.28,98,100,3.66,SB,1675620670
114,noumea,-22.2763,166.4572,28.33,99,72,4.4,NC,1675620644
115,atasu,48.6814,71.6433,-6.64,96,99,2.71,KZ,1675620671
116,taltal,-25.4,-70.4833,23.53,69,2,3.18,CL,1675620672
117,zhezkazgan,47.8043,67.7144,-2.59,96,100,2.54,KZ,1675620673
118,kaeo,-35.1,173.7833,19.07,94,99,2.41,NZ,1675620485
119,bredasdorp,-34.5322,20.0403,21.75,73,88,4.09,ZA,1675620636
120,haapiti,-17.5667,-149.8667,28.85,73,94,6.75,PF,1675620674
121,hermanus,-34.4187,19.2345,21.0,80,97,3.83,ZA,1675620143
122,fairbanks,64.8378,-147.7164,-23.28,76,0,2.06,US,1675620379
123,cayenne,4.9333,-52.3333,23.02,100,75,0.0,GF,1675620559
124,olinda,-8.0089,-34.8553,28.85,70,40,3.09,BR,1675620478
125,freeport,40.6576,-73.5832,7.43,54,0,5.14,US,1675620676
126,saint-philippe,-21.3585,55.7679,26.77,86,89,4.45,RE,1675620147
127,riyadh,24.6877,46.7219,17.08,38,6,3.14,SA,1675620678
128,bara,10.3744,10.7288,29.24,13,85,3.93,NG,1675620678
129,chokurdakh,70.6333,147.9167,-39.72,100,97,1.47,RU,1675620679
130,bengkulu,-3.8004,102.2655,23.43,91,99,3.15,ID,1675620680
131,klaksvik,62.2266,-6.589,8.51,93,100,15.2,FO,1675620680
132,aquiraz,-3.9014,-38.3911,30.05,71,70,4.34,BR,1675620681
133,griffith,41.5284,-87.4237,7.27,65,0,6.17,US,1675620682
134,fukue,32.6881,128.8419,10.17,53,84,5.2,JP,1675620683
135,dongying,37.4564,118.4856,4.77,39,97,1.74,CN,1675620683
136,kailua,21.4022,-157.7394,23.99,87,54,1.79,US,1675620684
